id,name,slug,description,created_at,updated_at,created_by_id
1,Travel,travel,Travel related news and articles,2025-10-14 06:07:29,2025-10-14 06:07:29,1
2,Legends,legends,Legends and famous mountaineers,2025-10-14 06:07:29,2025-10-14 06:07:29,1
3,Conservation,conservation,Conservation and environmental protection,2025-10-14 06:07:29,2025-10-14 06:07:29,1
4,Environment,environment,Environmental news and climate,2025-10-14 06:07:29,2025-10-14 06:07:29,1
5,Mountain,mountain,Mountain specific news and peaks,2025-10-14 06:07:29,2025-10-14 06:07:29,1
6,Expedition,expedition,Expedition updates and reports,2025-10-14 06:07:29,2025-10-14 06:07:29,1
